Année,Sexe,Contrat,Categorie,Valeur_effectifs,Source,Valeur_handicap,Pourcentage_sexe,Part_handicap,Evolution_annuelle
2017,Femme,Statutaires,Maîtrise,759.0,Effectifs,,0.09356232064140114,,-70.21193092621665
2017,Femme,Statutaires,Maîtrise,8422.0,Effectifs,,1.0381842746269834,,1009.6179183135705
2017,Femme,Statutaires,Maîtrise,2634.0,Effectifs,,0.3246945356646253,,-68.72476846354785
2017,Femme,Statutaires,Maîtrise,1447.0,Effectifs,,0.17837243474058953,,-45.06454062262718
2017,Femme,Statutaires,Maîtrise,675.0,Effectifs,,0.0832075974083607,,-53.35176226675882
2017,Femme,Statutaires,Maîtrise,10.0,Effectifs,,0.0012327051467905287,,-98.51851851851852
2017,Femme,Statutaires,Maîtrise,,Handicap,575.0,,,0.0
2017,Femme,Statutaires,,1348.0,Effectifs,,,,
2017,Femme,Statutaires,,3570.0,Effectifs,,,,
2017,Femme,Statutaires,,3486.0,Effectifs,,,,
2017,Femme,Statutaires,,30.0,Effectifs,,,,
2017,Femme,Statutaires,,735.0,Effectifs,,,,
2017,Femme,Statutaires,,3173.0,Effectifs,,,,
2017,Femme,Statutaires,,2527.0,Effectifs,,,,
2017,Femme,Statutaires,,1693.0,Effectifs,,,,
2017,Femme,Statutaires,,561.0,Effectifs,,,,
2017,Femme,Statutaires,,1550.0,Effectifs,,,,
2017,Homme,Non Statutaires CDD,Cadre,,Handicap,0.0,,,
2017,Homme,Non Statutaires CDD,Exécution,,Handicap,7.0,,,
2017,Homme,Non Statutaires CDD,Maîtrise,,Handicap,4.0,,,
2017,Homme,Non Statutaires CDI,Cadre,,Handicap,3.0,,,
2017,Homme,Non Statutaires CDI,Exécution,,Handicap,0.0,,,
2017,Homme,Non Statutaires CDI,Maîtrise,,Handicap,0.0,,,
2017,Homme,Non statutaires CDD,Cadre,72.0,Effectifs,,0.008577800651912848,,
2017,Homme,Non statutaires CDD,Cadre,30.0,Effectifs,,0.0035740836049636877,,-58.33333333333333
2017,Homme,Non statutaires CDD,Cadre,1.0,Effectifs,,0.00011913612016545625,,-96.66666666666667
2017,Homme,Non statutaires CDD,Cadre,82.0,Effectifs,,0.009769161853567411,,8100.0
2017,Homme,Non statutaires CDD,Cadre,15.0,Effectifs,,0.0017870418024818438,,-81.70731707317074
2017,Homme,Non statutaires CDD,Cadre,1.0,Effectifs,,0.00011913612016545625,,-93.33333333333333
2017,Homme,Non statutaires CDD,Cadre,3.0,Effectifs,,0.00035740836049636874,,200.0
2017,Homme,Non statutaires CDD,Cadre,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDD,Cadre,17.0,Effectifs,,0.0020253140428127562,,inf
2017,Homme,Non statutaires CDD,Cadre,1.0,Effectifs,,0.00011913612016545625,,-94.11764705882352
2017,Homme,Non statutaires CDD,Cadre,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDD,Cadre,101.0,Effectifs,,0.012032748136711081,,inf
2017,Homme,Non statutaires CDD,Exécution,1030.0,Effectifs,,0.6955652649563415,,
2017,Homme,Non statutaires CDD,Exécution,903.0,Effectifs,,0.6098013924811421,,-12.330097087378643
2017,Homme,Non statutaires CDD,Exécution,3.0,Effectifs,,0.002025918247445655,,-99.66777408637874
2017,Homme,Non statutaires CDD,Exécution,1031.0,Effectifs,,0.6962405710388233,,34266.66666666667
2017,Homme,Non statutaires CDD,Exécution,558.0,Effectifs,,0.37682079402489177,,-45.87778855480117
2017,Homme,Non statutaires CDD,Exécution,3.0,Effectifs,,0.002025918247445655,,-99.46236559139786
2017,Homme,Non statutaires CDD,Exécution,30.0,Effectifs,,0.020259182474456548,,900.0
2017,Homme,Non statutaires CDD,Exécution,136.0,Effectifs,,0.09184162721753635,,353.3333333333333
2017,Homme,Non statutaires CDD,Exécution,11.0,Effectifs,,0.007428366907300734,,-91.91176470588235
2017,Homme,Non statutaires CDD,Exécution,4.0,Effectifs,,0.0027012243299275396,,-63.63636363636363
2017,Homme,Non statutaires CDD,Exécution,29.0,Effectifs,,0.01958387639197466,,625.0
2017,Homme,Non statutaires CDD,Maîtrise,522.0,Effectifs,,0.06434720866246561,,
2017,Homme,Non statutaires CDD,Maîtrise,1.0,Effectifs,,0.0001232705146790529,,-99.80842911877394
2017,Homme,Non statutaires CDD,Maîtrise,13.0,Effectifs,,0.0016025166908276876,,1200.0
2017,Homme,Non statutaires CDD,Maîtrise,148.0,Effectifs,,0.01824403617249983,,1038.4615384615386
2017,Homme,Non statutaires CDD,Maîtrise,945.0,Effectifs,,0.11649063637170498,,538.5135135135135
2017,Homme,Non statutaires CDD,Maîtrise,59.0,Effectifs,,0.007272960366064121,,-93.75661375661376
2017,Homme,Non statutaires CDD,Maîtrise,829.0,Effectifs,,0.10219125666893485,,1305.084745762712
2017,Homme,Non statutaires CDD,Maîtrise,4.0,Effectifs,,0.0004930820587162116,,-99.51749095295537
2017,Homme,Non statutaires CDD,Maîtrise,9.0,Effectifs,,0.001109434632111476,,125.0
2017,Homme,Non statutaires CDD,Maîtrise,1004.0,Effectifs,,0.1237635967377691,,11055.555555555557
2017,Homme,Non statutaires CDD,,2166.0,Effectifs,,,,
2017,Homme,Non statutaires CDI,Cadre,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Cadre,79.0,Effectifs,,0.009411753493071044,,inf
2017,Homme,Non statutaires CDI,Cadre,56.0,Effectifs,,0.00667162272926555,,-29.11392405063291
2017,Homme,Non statutaires CDI,Cadre,241.0,Effectifs,,0.028711804959874954,,330.3571428571429
2017,Homme,Non statutaires CDI,Cadre,44.0,Effectifs,,0.005241989287280075,,-81.74273858921161
2017,Homme,Non statutaires CDI,Cadre,162.0,Effectifs,,0.019300051466803914,,268.1818181818182
2017,Homme,Non statutaires CDI,Cadre,11.0,Effectifs,,0.0013104973218200186,,-93.20987654320987
2017,Homme,Non statutaires CDI,Cadre,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Cadre,15.0,Effectifs,,0.0017870418024818438,,inf
2017,Homme,Non statutaires CDI,Cadre,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Cadre,52.0,Effectifs,,0.006195078248603724,,inf
2017,Homme,Non statutaires CDI,Cadre,32.0,Effectifs,,0.0038123558452946,,-38.46153846153846
2017,Homme,Non statutaires CDI,Cadre,46.0,Effectifs,,0.005480261527610987,,43.75
2017,Homme,Non statutaires CDI,Cadre,17.0,Effectifs,,0.0020253140428127562,,-63.04347826086957
2017,Homme,Non statutaires CDI,Cadre,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Cadre,40.0,Effectifs,,0.00476544480661825,,inf
2017,Homme,Non statutaires CDI,Cadre,61.0,Effectifs,,0.007267303330092832,,52.49999999999999
2017,Homme,Non statutaires CDI,Cadre,149.0,Effectifs,,0.017751281904652978,,144.26229508196718
2017,Homme,Non statutaires CDI,Cadre,13.0,Effectifs,,0.001548769562150931,,-91.2751677852349
2017,Homme,Non statutaires CDI,Cadre,24.0,Effectifs,,0.00285926688397095,,84.61538461538463
2017,Homme,Non statutaires CDI,Cadre,1.0,Effectifs,,0.00011913612016545625,,-95.83333333333334
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,2.0,Effectifs,,0.0013506121649637698,,inf
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Exécution,2.0,Effectifs,,0.0013506121649637698,,inf
2017,Homme,Non statutaires CDI,Exécution,2.0,Effectifs,,0.0013506121649637698,,0.0
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,-100.0
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Exécution,2.0,Effectifs,,0.0013506121649637698,,inf
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
2017,Homme,Non statutaires CDI,Maîtrise,0.0,Effectifs,,0.0,,
